date,open,close,high,low,volume_from,volume_to
2017-10-02,0.02519,0.02588,0.03063,0.01972,2193436913.28,56765624.4
2017-10-03,0.02588,0.02084,0.02683,0.02066,718262823.26,14966793.97
2017-10-04,0.02084,0.02189,0.02308,0.02033,412967946.05,9041869.33
2017-10-05,0.02189,0.02152,0.02269,0.02096,251628618.6,5415241.93
2017-10-06,0.02152,0.01849,0.02186,0.01814,372098441.65,6881330.42
2017-10-07,0.01849,0.0208,0.02182,0.01774,374170143.19,7784216.54
2017-10-08,0.0208,0.02052,0.0244,0.02015,344317591.75,7066108.0
2017-10-09,0.02052,0.02207,0.0237,0.02107,208740275.58,4607316.16
2017-10-10,0.02207,0.02148,0.02229,0.0211,126480704.1,2717153.8
2017-10-11,0.02148,0.02253,0.02263,0.02123,164904360.51,3715132.65
2017-10-12,0.02253,0.02635,0.02743,0.0232,343803093.02,9058595.06
2017-10-13,0.02635,0.03354,0.03456,0.02537,520342338.92,17453165.07
2017-10-14,0.03354,0.03221,0.03955,0.02953,792840919.35,25537918.43
2017-10-15,0.03221,0.03003,0.03293,0.02958,221666539.84,6657395.25
2017-10-16,0.02992,0.02891,0.03139,0.0288,189713134.22,5484955.14
2017-10-17,0.02891,0.02721,0.02878,0.02475,225242505.55,6128645.59
2017-10-18,0.02721,0.02665,0.02766,0.02587,70396420.82,1876238.31
2017-10-19,0.02666,0.02701,0.02758,0.02616,109264417.06,2951406.84
2017-10-20,0.02701,0.0305,0.03164,0.02799,290322512.38,8856267.89
2017-10-21,0.0305,0.02841,0.03093,0.02763,185580624.83,5272615.48
2017-10-22,0.02841,0.0277,0.02842,0.02752,103530064.15,2867849.22
2017-10-23,0.0277,0.0258,0.02757,0.0245,135013715.72,3483188.57
2017-10-24,0.0258,0.02701,0.02839,0.02266,284654158.99,7689673.64
2017-10-25,0.02701,0.02741,0.02867,0.02666,91100996.76,2496943.49
2017-10-26,0.02741,0.02714,0.02838,0.02655,89386495.95,2426117.73
2017-10-27,0.02714,0.02646,0.02657,0.02508,93383690.55,2470869.92
2017-10-28,0.02646,0.02588,0.02634,0.02577,66899011.41,1731632.56
2017-10-29,0.02588,0.02834,0.03012,0.02754,163710098.95,4639555.21
2017-10-30,0.02834,0.02854,0.02885,0.02744,133679387.86,3815095.41
2017-10-31,0.02854,0.03051,0.03174,0.02897,240371750.85,7334791.39
2017-11-01,0.03057,0.02304,0.032,0.02298,343507310.31,7915510.26
2017-11-02,0.02304,0.02129,0.02634,0.01784,274019086.98,5832544.03
2017-11-03,0.02129,0.02253,0.0236,0.0196,132014491.82,2974177.98
2017-11-04,0.0223,0.02194,0.0243,0.02172,112414141.73,2466829.87
2017-11-05,0.02194,0.02069,0.02283,0.02062,110588890.32,2288165.98
2017-11-06,0.02069,0.02185,0.02324,0.01949,211695627.86,4625969.09
2017-11-07,0.02185,0.02209,0.02379,0.02145,111588070.46,2464930.54
2017-11-08,0.02209,0.02509,0.02754,0.02204,259967107.53,6521923.04
2017-11-09,0.02509,0.03223,0.03493,0.02396,615507183.44,19835178.65
2017-11-10,0.03223,0.02639,0.03014,0.02639,243086113.86,6416140.32
2017-11-11,0.02659,0.0272,0.0284,0.02568,201507940.44,5480612.84
2017-11-12,0.0272,0.0241,0.02633,0.02228,308434735.11,7433379.82
2017-11-13,0.0241,0.0257,0.02739,0.02472,170763891.61,4388367.84
2017-11-14,0.0257,0.02619,0.02672,0.02553,116207516.75,3043513.0
2017-11-15,0.02619,0.02658,0.02891,0.0252,250554443.78,6660677.45
2017-11-16,0.02658,0.02749,0.03008,0.0271,172505736.55,4741816.99
2017-11-17,0.02741,0.02572,0.02687,0.02402,139165420.92,3579033.05
2017-11-18,0.02572,0.0263,0.02708,0.02544,111339141.52,2928161.06
2017-11-19,0.0263,0.02807,0.02919,0.02662,169334037.88,4753005.55
2017-11-20,0.02815,0.0296,0.03463,0.02795,514319987.28,15223067.79
2017-11-21,0.0296,0.02835,0.02965,0.02786,205711069.32,5831887.22
2017-11-22,0.02835,0.02866,0.02907,0.02808,172087858.86,4931389.95
2017-11-23,0.02857,0.02741,0.02805,0.02668,185574523.77,5085829.83
2017-11-24,0.02741,0.02821,0.02846,0.02706,185433934.67,5231230.74
2017-11-25,0.02822,0.03047,0.03152,0.02959,202589511.86,6172157.14
2017-11-26,0.03047,0.03653,0.03914,0.03159,823215387.82,30070581.6
2017-11-27,0.03671,0.05042,0.05791,0.0366,1543390025.61,77814601.27
2017-11-28,0.05012,0.1194,0.1661,0.04834,2291835517.87,273571322.48
2017-11-29,0.1114,0.08993,0.1361,0.07694,31718625.54,2852429.6
2017-11-30,0.0899,0.1205,0.1305,0.09149,24463426.35,2946704.1
2017-12-01,0.1206,0.1329,0.162,0.1205,16514670.57,2195378.39
2017-12-02,0.1329,0.1333,0.1373,0.1286,9665287.01,1288057.62
2017-12-03,0.1333,0.1335,0.1356,0.1282,6794399.99,906878.49
2017-12-04,0.1335,0.1358,0.1507,0.128,13742396.98,1865987.24
2017-12-05,0.1358,0.1253,0.1341,0.1253,14628842.4,1833555.06
2017-12-06,0.1262,0.1186,0.1325,0.108,19156946.68,2271824.91
2017-12-07,0.1186,0.1032,0.1319,0.1027,13304724.31,1373365.07
2017-12-08,0.1031,0.1172,0.1215,0.09938,15604882.26,1829306.2
2017-12-09,0.1167,0.1205,0.1333,0.1106,11315960.35,1363935.49
2017-12-10,0.1202,0.1092,0.1143,0.1004,10369049.64,1131949.22
2017-12-11,0.1092,0.1181,0.1344,0.1181,12252130.56,1446446.1
2017-12-12,0.1181,0.1344,0.1552,0.1149,18257432.8,2453609.89
2017-12-13,0.1408,0.1328,0.1538,0.1258,15959991.74,2119919.42
2017-12-14,0.1328,0.2466,0.2509,0.1235,63306647.29,15609373.78
2017-12-15,0.2455,0.2144,0.2437,0.1914,59402486.49,12734811.44
2017-12-16,0.2154,0.3984,0.4717,0.2015,87163032.12,34723769.04
2017-12-17,0.4006,0.4855,0.5991,0.3811,79897996.97,38787205.23
2017-12-18,0.4855,0.5261,0.561,0.4692,32468078.14,17080258.06
2017-12-19,0.5281,0.5281,0.6367,0.4981,37312035.37,19705418.68
2017-12-20,0.528,0.493,0.5261,0.4219,30311244.29,14943685.11
2017-12-21,0.4891,0.4744,0.5128,0.4525,31988299.08,15175997.29
2017-12-22,0.4756,0.4125,0.4245,0.3555,39147284.48,16146665.86
2017-12-23,0.4099,0.4139,0.4402,0.4078,24129928.2,9987135.89
2017-12-24,0.4139,0.3828,0.4011,0.3808,15213389.38,5823196.09
2017-12-25,0.3829,0.4114,0.435,0.3536,22658724.51,9321671.15
2017-12-26,0.4118,0.4262,0.4344,0.3917,15430409.83,6576415.67
2017-12-27,0.4262,0.4119,0.4235,0.4011,18895331.27,7783451.74
2017-12-28,0.4119,0.4074,0.4155,0.3806,21112975.44,8600720.94
2017-12-29,0.4074,0.5283,0.575,0.4133,54404770.63,28741837.94
2017-12-30,0.4955,0.59,0.6941,0.42,24118261.7,14016860.69
2017-12-31,0.59,0.71,0.74,0.59,13107255.34,8971147.7
2018-01-01,0.71,0.7022,0.715,0.632,13805601.7,9403559.91
2018-01-02,0.7022,0.762,0.8,0.675,8440669.4,6292466.84
2018-01-03,0.762,1.1,1.1,0.7601,15615106.55,15269923.65
2018-01-04,1.11,1.13,1.38,1.04,12154860.5,14721109.54
2018-01-05,1.15,1.01,1.3,0.9,13828338.74,14616848.19
2018-01-06,1.01,1.04,1.08,0.908,7011296.21,7036404.33
2018-01-07,1.03,1.01,1.05,0.979,3692813.75,3741344.23
2018-01-08,1.01,0.9,1.02,0.7359,7518428.06,6765036.61
2018-01-09,0.9,0.81,0.954,0.772,5489581.92,4729859.2
2018-01-10,0.81,0.7765,0.8293,0.6559,9093897.84,6665172.35
2018-01-11,0.78,0.68,0.783,0.51,13309307.09,8794376.36
2018-01-12,0.679,0.895,0.93,0.631,10128654.96,7945692.59
2018-01-13,0.8983,0.879,0.959,0.8329,7148300.9,6400745.85
2018-01-14,0.879,0.8,0.89,0.72,6918665.69,5461450.35
2018-01-15,0.8,0.77,0.8666,0.75,4816974.43,3956914.17
2018-01-16,0.7724,0.61,0.7952,0.45,23996657.62,14442780.73
2018-01-17,0.6,0.6242,0.6839,0.434,28249171.3,15237720.28
2018-01-18,0.625,0.65,0.6996,0.6,3289452.71,2108397.87
2018-01-19,0.65,0.6441,0.6964,0.589,9110742.77,5750844.38
2018-01-20,0.6479,0.7048,0.7263,0.64,5550844.63,3820240.01
2018-01-21,0.7049,0.61,0.7049,0.5765,7987304.26,4988683.38
2018-01-22,0.6165,0.5675,0.64,0.51,8299339.54,4726783.99
2018-01-23,0.5699,0.5601,0.59,0.5166,6748419.5,3765169.01
2018-01-24,0.5619,0.628,0.65,0.537,6756615.18,4050649.27
2018-01-25,0.63,0.642,0.685,0.6185,5962422.19,3864120.17
2018-01-26,0.642,0.6268,0.655,0.561,13959569.11,8406839.7
2018-01-27,0.6268,0.6213,0.642,0.595,4259906.16,2640804.41
2018-01-28,0.6213,0.6423,0.67,0.6131,4980462.93,3194670.44
2018-01-29,0.6423,0.591,0.6465,0.583,4453359.49,2712202.98
2018-01-30,0.591,0.51,0.603,0.5,8570161.8,4609867.44
2018-01-31,0.5136,0.5072,0.517,0.463,6258778.63,3069907.43
2018-02-01,0.5072,0.4217,0.5218,0.387,10326614.2,4524656.19
2018-02-02,0.4217,0.4047,0.4217,0.2958,31941163.56,11368745.26
2018-02-03,0.4,0.464,0.5185,0.3453,16186834.07,6971494.08
2018-02-04,0.464,0.382,0.488,0.364,38298282.28,17107431.63
2018-02-05,0.382,0.317,0.3962,0.2915,28363246.66,9493848.67
2018-02-06,0.317,0.359,0.3732,0.2612,41362427.8,12659288.18
2018-02-07,0.359,0.331,0.38,0.318,23234131.21,8234163.49
2018-02-08,0.331,0.3449,0.361,0.318,14190857.92,4887107.79
2018-02-09,0.345,0.379,0.386,0.32,12999338.3,4655595.05
2018-02-10,0.379,0.381,0.4386,0.358,29183935.95,11886451.73
2018-02-11,0.381,0.3488,0.381,0.34,12282926.66,4366709.77
2018-02-12,0.3488,0.371,0.383,0.3488,6933557.81,2552983.28
2018-02-13,0.3713,0.3578,0.374,0.342,5046147.91,1790268.54
2018-02-14,0.3578,0.393,0.3951,0.35,12984103.65,4851562.03
2018-02-15,0.393,0.39,0.4044,0.37,9835169.17,3806042.96
2018-02-16,0.389,0.39,0.395,0.3704,6738931.47,2584705.73
2018-02-17,0.39,0.41,0.4186,0.3854,10125806.34,4047992.17
2018-02-18,0.41,0.36,0.4102,0.36,11668452.53,4440011.76
2018-02-19,0.36,0.375,0.3865,0.36,5595604.76,2106787.71
2018-02-20,0.3758,0.346,0.3872,0.3437,7807993.5,2886435.13
2018-02-21,0.345,0.3328,0.355,0.325,7625415.34,2574378.55
2018-02-22,0.3328,0.31,0.3476,0.304,5966532.67,1913250.36
2018-02-23,0.31,0.3239,0.3367,0.2996,5516345.62,1737682.32
2018-02-24,0.3239,0.2968,0.3296,0.289,5005016.36,1529634.28
2018-02-25,0.3,0.3232,0.3369,0.2948,6131151.26,1928435.38
2018-02-26,0.3232,0.3234,0.3317,0.3028,5912613.05,1894921.27
