date,open,close,high,low,volume_from,volume_to
2017-10-05,4218.66,4321.44,4365.76,4143.35,63613.2,271914958.4
2017-10-06,4321.44,4371.94,4422.15,4296.93,61692.93,269878225.69
2017-10-07,4371.94,4435.81,4472.92,4319.48,40202.08,176332039.12
2017-10-08,4435.81,4611.7,4622.87,4419.36,71366.95,323063950.84
2017-10-09,4611.7,4777.49,4875.38,4556.15,110191.77,518586828.49
2017-10-10,4777.49,4763.36,4930.0,4722.81,98485.0,475717720.64
2017-10-11,4763.36,4824.2,4874.89,4718.6,70482.75,338533507.33
2017-10-12,4824.2,5432.62,5432.63,4814.98,163916.09,848641969.34
2017-10-13,5432.62,5637.26,5852.78,5391.97,215018.92,1211469140.96
2017-10-14,5637.26,5824.71,5839.62,5568.86,76224.35,434406119.95
2017-10-15,5824.71,5688.14,5862.69,5448.22,101636.95,571166215.25
2017-10-16,5677.35,5759.33,5795.33,5576.1,61358.95,349154669.33
2017-10-17,5759.25,5598.58,5773.32,5521.09,65637.43,368658284.35
2017-10-18,5598.58,5575.83,5601.3,5114.87,122020.31,654722509.03
2017-10-19,5576.71,5698.65,5737.41,5517.62,83056.09,469774559.06
2017-10-20,5698.62,5993.11,6075.32,5611.39,123860.51,729487923.01
2017-10-21,5993.11,6006.65,6187.2,5874.54,112943.89,684989667.22
2017-10-22,6006.65,5982.86,6070.56,5722.98,105030.93,618893096.8
2017-10-23,5982.86,5903.61,6048.98,5644.22,137140.4,801148315.46
2017-10-24,5903.61,5513.08,5904.63,5463.41,143735.81,811951129.66
2017-10-25,5513.08,5734.0,5747.96,5375.64,105839.48,585738379.88
2017-10-26,5734.0,5887.61,5970.4,5689.92,93675.55,547664553.57
2017-10-27,5887.62,5764.56,5997.83,5692.32,83933.5,488283724.04
2017-10-28,5764.56,5726.61,5871.04,5654.8,53232.17,305611140.99
2017-10-29,5726.61,6147.52,6295.43,5679.37,163055.75,966990808.93
2017-10-30,6147.7,6124.28,6226.18,6018.97,78624.31,481600502.95
2017-10-31,6124.28,6451.24,6467.2,6090.83,101249.62,637838767.02
2017-11-01,6449.1,6737.78,6738.74,6355.0,133191.93,869798619.79
2017-11-02,6737.78,7024.81,7339.91,6737.77,238796.19,1663170039.86
2017-11-03,7024.81,7152.12,7445.62,6938.93,154886.75,1120978013.29
2017-11-04,7146.98,7363.8,7492.24,6957.84,106602.67,773371754.85
2017-11-05,7363.8,7389.55,7599.44,7284.33,105727.2,789287755.18
2017-11-06,7389.55,6959.23,7429.7,6934.73,159688.48,1148125488.89
2017-11-07,6959.27,7102.75,7222.37,6957.8,101044.57,716798409.14
2017-11-08,7102.23,7444.36,7869.1,7026.97,220224.38,1632547465.88
2017-11-09,7444.36,7129.59,7457.12,7040.83,126769.9,915963933.06
2017-11-10,7129.59,6565.8,7318.97,6406.05,222001.18,1513421266.51
2017-11-11,6565.8,6339.86,6821.5,6197.87,135719.07,878096915.35
2017-11-12,6339.87,5878.13,6490.53,5493.64,269832.87,1629165385.9
