date,open,close,high,low,volume_from,volume_to
2017-09-29,0.001109,0.001089,0.001121,0.000988,622669390.82,660008.64
2017-09-30,0.001089,0.001168,0.001171,0.001084,389250631.96,437815.03
2017-10-01,0.001168,0.001076,0.001169,0.0009,564901442.02,614996.19
2017-10-02,0.001076,0.001051,0.001112,0.001042,367033650.12,398464.86
2017-10-03,0.001051,0.001023,0.001077,0.00099,516668207.66,528532.48
2017-10-04,0.001023,0.001014,0.001098,0.001004,433361995.59,442771.05
2017-10-05,0.001014,0.001007,0.001033,0.000958,299248457.41,299918.43
2017-10-06,0.001007,0.001024,0.001046,0.000979,355941033.78,359863.92
2017-10-07,0.001024,0.001042,0.001048,0.000999,145936739.12,149057.06
2017-10-08,0.001042,0.00106,0.001071,0.001028,19636814.48,20704.33
2017-10-09,0.00106,0.000976,0.00106,0.000961,194068448.53,195722.5
2017-10-10,0.000976,0.0009988,0.001027,0.000956,262796840.38,258548.2
2017-10-11,0.0009988,0.001036,0.00105,0.000975,328194820.88,337112.45
2017-10-12,0.001036,0.001051,0.001091,0.00103,344591942.27,362179.37
2017-10-13,0.001051,0.00102,0.001087,0.000984,421562795.68,431826.31
2017-10-14,0.00102,0.001067,0.001116,0.001009,340797571.24,358953.55
2017-10-15,0.001067,0.001079,0.001099,0.00099,336179631.35,353153.44
2017-10-16,0.00108,0.001152,0.001169,0.00103,1360767900.61,1549044.48
2017-10-17,0.001151,0.001066,0.001155,0.001056,4106858126.11,4556633.43
2017-10-18,0.001066,0.001055,0.00109,0.000981,769598723.73,792803.66
2017-10-19,0.001052,0.001069,0.001079,0.001038,740775469.02,782803.23
2017-10-20,0.001069,0.001037,0.001083,0.00102,1118094699.66,1174983.23
2017-10-21,0.00104,0.00098,0.001055,0.000932,915137428.28,914133.64
2017-10-22,0.00098,0.001016,0.00106,0.00096,902980050.4,914720.64
2017-10-23,0.001013,0.00101,0.001046,0.000966,609960333.02,612908.55
2017-10-24,0.00101,0.00106,0.001117,0.00095,277630738.77,285002.78
2017-10-25,0.00106,0.001079,0.0011,0.001001,103488738.7,109133.09
2017-10-26,0.001079,0.00106,0.001083,0.001019,142693128.62,150414.14
2017-10-27,0.00106,0.001042,0.00107,0.00102,287995952.64,302661.82
2017-10-28,0.001042,0.001014,0.001048,0.000991,86700752.88,88263.47
2017-10-29,0.001014,0.001181,0.001182,0.001,116991946.0,129386.83
2017-10-30,0.001181,0.00116,0.001182,0.0011,159200616.64,182980.31
2017-10-31,0.00116,0.00115,0.001178,0.001066,397552676.68,455550.49
2017-11-01,0.001147,0.001125,0.00118,0.00109,338380064.97,380421.5
2017-11-02,0.001125,0.00112,0.00116,0.001045,443562945.11,490470.48
2017-11-03,0.00112,0.001133,0.001158,0.001091,409252816.82,465834.16
2017-11-04,0.001133,0.001179,0.001194,0.001107,399182240.52,459674.51
2017-11-05,0.001179,0.001165,0.001225,0.001151,377343224.91,447766.31
2017-11-06,0.001169,0.001143,0.00121,0.001092,402657325.8,471334.54
2017-11-07,0.001143,0.001168,0.00119,0.001136,358133854.79,416584.63
2017-11-08,0.001169,0.001193,0.001239,0.001132,730611420.59,868813.8
2017-11-09,0.001191,0.001385,0.0014,0.001173,735661585.71,929272.09
2017-11-10,0.001392,0.001158,0.0014,0.00113,226549753.82,306339.42
2017-11-11,0.001158,0.001171,0.00123,0.001125,335376473.87,387142.69
2017-11-12,0.001172,0.00106,0.001172,0.001023,501471865.43,552327.8
2017-11-13,0.00106,0.001161,0.0012,0.001048,574353408.29,666866.11
2017-11-14,0.001162,0.00117,0.0012,0.001129,809396446.68,945004.48
2017-11-15,0.001171,0.001295,0.001326,0.00117,599986958.31,752383.52
2017-11-16,0.001295,0.00132,0.001392,0.001266,587182346.02,784614.39
2017-11-17,0.001353,0.001299,0.001368,0.001208,595446497.97,779682.05
2017-11-18,0.001298,0.00132,0.001332,0.001255,396078359.99,511644.49
2017-11-19,0.00132,0.001359,0.001362,0.001302,12338825.64,16416.95
2017-11-20,0.001362,0.001373,0.0014,0.001283,382699117.49,523113.21
2017-11-21,0.001373,0.001376,0.001494,0.00128,695873014.47,950797.6
2017-11-22,0.001376,0.001843,0.002082,0.001356,716684744.08,1123133.03
2017-11-23,0.001837,0.001911,0.002448,0.001642,457307435.94,925059.59
2017-11-24,0.001905,0.001899,0.002,0.001731,422957230.78,805838.43
2017-11-25,0.001903,0.002074,0.002079,0.00177,429004244.57,842618.37
2017-11-26,0.002074,0.001954,0.002147,0.001847,396868771.94,793432.1
2017-11-27,0.001956,0.001965,0.002028,0.001851,691810814.7,1350868.14
2017-11-28,0.001965,0.00236,0.00236,0.001925,658537930.94,1356125.98
2017-11-29,0.00236,0.002044,0.0027,0.001909,688289125.49,1609014.02
2017-11-30,0.002043,0.002053,0.002408,0.001835,520868720.76,1066563.96
2017-12-01,0.002053,0.002127,0.00224,0.001971,576424297.44,1206482.14
2017-12-02,0.002127,0.002073,0.002172,0.002041,465625658.4,974472.73
2017-12-03,0.002073,0.002186,0.002339,0.001978,664573902.08,1445020.96
2017-12-04,0.002186,0.002437,0.00245,0.002131,509248515.97,1154358.42
2017-12-05,0.002439,0.002463,0.00265,0.002394,476303936.29,1190202.32
2017-12-06,0.002467,0.002586,0.0026,0.002202,526019229.73,1314874.81
2017-12-07,0.002586,0.002666,0.002778,0.00238,527088343.75,1354981.87
2017-12-08,0.002666,0.002698,0.00286,0.002304,526128344.4,1339184.64
