date,open,close,high,low,volume_from,volume_to
2017-10-05,291.68,294.99,297.47,286.73,202892.42,59328523.56
2017-10-06,294.99,308.33,309.0,293.75,265830.27,80140194.73
2017-10-07,308.33,311.26,314.12,304.63,269276.51,83321062.1
2017-10-08,311.26,309.49,313.52,308.13,217688.05,67801593.66
2017-10-09,309.49,296.95,310.14,286.52,471243.74,140753204.93
2017-10-10,296.95,298.46,305.95,292.28,268423.2,80475858.44
2017-10-11,298.46,302.86,305.12,297.18,223439.16,67246675.44
2017-10-12,302.86,302.89,308.77,301.65,426811.81,130357482.76
2017-10-13,302.89,336.83,347.7,298.29,994746.99,325130767.69
2017-10-14,336.83,338.81,347.14,333.83,345894.16,118217861.14
2017-10-15,338.81,336.58,341.93,318.35,465975.53,154046243.07
2017-10-16,336.58,334.23,352.39,332.9,498450.89,170532984.7
2017-10-17,334.23,316.14,334.42,310.57,415234.07,133468389.3
2017-10-18,316.14,313.54,316.34,287.95,543742.61,164595270.46
2017-10-19,313.54,307.41,316.38,304.63,297975.44,92233614.25
2017-10-20,307.41,303.08,312.11,301.86,297745.84,91295399.0
2017-10-21,303.08,299.55,303.09,290.92,307450.01,91321527.88
2017-10-22,299.55,294.03,305.89,290.69,229706.09,67955886.57
2017-10-23,294.03,285.27,294.25,274.96,430501.72,121924456.19
2017-10-24,285.27,296.5,311.23,280.01,545459.65,165128705.67
2017-10-25,296.5,296.35,300.36,289.46,245972.24,72454123.85
2017-10-26,296.35,295.54,299.37,292.7,160687.3,47625722.81
2017-10-27,295.54,296.36,298.9,292.24,152637.47,45180916.86
2017-10-28,296.37,293.35,297.05,291.11,142578.77,41932396.96
2017-10-29,293.33,304.04,311.3,292.06,353324.1,107293933.23
2017-10-30,304.04,306.8,311.94,303.58,186091.57,57189166.5
2017-10-31,306.8,303.64,310.86,303.4,214194.38,65784953.81
2017-11-01,303.63,289.42,304.77,288.5,406127.88,121046164.14
2017-11-02,289.42,284.92,293.03,276.89,702319.19,200255173.09
2017-11-03,284.92,304.51,307.14,284.85,487772.27,144510264.39
2017-11-04,304.51,300.04,304.65,294.05,277052.73,82749431.95
2017-11-05,299.26,295.8,302.16,287.68,448125.28,132557109.84
2017-11-06,296.22,296.82,306.8,292.26,376470.44,112601694.96
2017-11-07,296.82,291.84,303.76,287.45,530096.77,155572238.28
2017-11-08,291.84,307.35,319.2,290.55,800725.7,245218193.52
2017-11-09,307.35,319.66,329.21,305.84,650266.17,207473774.31
2017-11-10,319.67,296.86,324.22,288.96,793302.54,242321395.52
2017-11-11,296.86,314.23,320.05,296.26,531431.95,163117794.2
2017-11-12,314.23,306.02,317.22,297.48,877312.34,269198764.73
2017-11-13,306.02,314.6,318.58,305.35,558443.0,174789178.94
2017-11-14,314.6,334.72,337.15,314.45,785305.62,256426287.76
2017-11-15,334.72,331.2,345.18,324.88,514478.63,171713343.53
2017-11-16,331.2,330.32,334.85,321.9,479983.53,157426941.16
2017-11-17,330.32,331.72,334.55,325.83,378014.46,124992568.47
2017-11-18,331.72,346.65,349.46,326.83,421354.76,141724984.0
2017-11-19,346.65,354.6,371.32,343.89,633880.58,225946121.64
2017-11-20,354.67,367.71,372.82,354.28,461611.79,167626773.14
2017-11-21,367.71,360.52,372.87,351.41,693590.17,251898109.93
2017-11-22,360.52,380.84,381.61,359.97,445622.07,164317320.01
2017-11-23,380.83,406.57,424.92,375.44,1028925.9,414164352.05
2017-11-24,406.51,470.43,478.38,400.18,908488.94,394452948.4
2017-11-25,470.4,464.61,483.38,457.41,642619.77,301212841.34
2017-11-26,464.55,470.54,471.5,451.12,376521.85,172973289.85
2017-11-27,470.45,475.24,489.43,462.47,672619.99,319587125.58
2017-11-28,475.2,466.27,478.46,459.91,549199.04,258005286.21
2017-11-29,466.24,427.42,515.44,409.35,1321734.67,619578824.65
2017-11-30,427.3,434.85,460.81,396.14,1023187.3,438013592.75
2017-12-01,435.31,461.58,467.22,416.77,583678.92,259931075.6
2017-12-02,461.58,457.96,471.39,449.69,464500.81,214732551.78
2017-12-03,457.96,462.81,481.56,445.57,509415.89,237918665.66
2017-12-04,462.92,466.93,472.16,446.64,411969.17,189877684.96
2017-12-05,466.93,453.96,467.84,451.47,494270.35,227246572.43
2017-12-06,453.96,422.48,456.87,413.13,1074639.32,470223347.34
2017-12-07,422.39,421.15,434.85,404.16,992479.84,416652301.63
2017-12-08,420.76,451.74,461.1,410.33,1095872.72,479837604.63
2017-12-09,451.78,472.86,507.36,448.09,1093313.72,522718280.71
2017-12-10,472.31,436.49,472.78,428.3,694853.93,307733091.95
2017-12-11,436.54,513.29,519.35,436.01,758921.64,359245523.6
2017-12-12,513.36,656.52,678.25,499.57,1760917.56,997267993.61
2017-12-13,656.52,699.09,755.07,593.89,1964686.27,1324617349.11
2017-12-14,699.09,693.58,751.68,662.29,1133303.76,806129945.07
2017-12-15,693.58,684.27,696.89,614.33,954510.93,633348317.08
2017-12-16,684.09,692.83,718.37,678.52,545836.8,378863163.02
2017-12-17,692.32,717.71,732.45,691.95,532050.55,381124251.98
2017-12-18,717.73,785.99,799.37,679.8,1016881.96,752383737.04
2017-12-19,786.17,812.5,868.89,767.59,1339007.15,1094688835.82
2017-12-20,812.5,799.17,830.2,713.75,1135826.7,889990388.6
2017-12-21,799.17,789.39,840.55,759.65,906371.43,725479885.52
2017-12-22,789.39,657.83,794.16,490.28,2384161.57,1535685091.41
2017-12-23,657.81,700.44,747.53,651.1,663566.52,468771914.78
2017-12-24,700.44,675.91,701.07,597.12,742417.69,477777689.82
2017-12-25,676.08,723.14,747.36,671.71,536600.51,382873119.5
2017-12-26,721.24,753.48,840.14,731.1,956924.92,721022543.95
2017-12-27,753.44,739.94,766.53,706.67,474557.77,352542483.1
2017-12-28,739.93,716.69,741.46,671.23,624468.48,437323299.68
2017-12-29,716.69,739.6,755.2,710.2,533531.26,392497843.64
2017-12-30,739.6,692.99,741.67,663.88,654093.06,455555629.24
2017-12-31,690.91,741.27,767.31,726.31,902419.05,668939244.64
2018-01-01,741.69,757.22,766.49,718.9,910875.63,689729274.59
2018-01-02,756.17,861.97,882.61,756.17,1123318.86,949013949.18
2018-01-03,861.97,941.1,951.7,847.9,871172.13,778108786.12
2018-01-04,941.0,944.83,997.44,901.03,822844.78,780050914.4
2018-01-05,944.5,963.88,1165.81,926.75,1682729.53,1621948065.55
2018-01-06,963.88,1008.36,1056.96,958.73,975679.49,983833688.41
2018-01-07,1006.41,1117.75,1117.84,1003.21,563476.81,602250144.77
2018-01-08,1117.75,1136.11,1228.25,967.84,1137114.56,1292737991.11
2018-01-09,1136.11,1289.24,1300.3,1133.7,812642.22,986697724.1
2018-01-10,1289.24,1248.99,1385.22,1210.85,1105070.29,1445484601.88
2018-01-11,1248.96,1139.32,1333.92,1100.85,1056985.76,1270849838.43
2018-01-12,1139.32,1261.03,1287.06,1087.61,581477.09,704750432.94
2018-01-13,1261.06,1385.02,1422.86,1261.01,551036.77,744906594.35
2018-01-14,1385.02,1359.48,1389.32,1267.48,458696.01,610496132.15
2018-01-15,1359.38,1278.69,1381.35,1271.07,407230.97,537797572.32
2018-01-16,1278.7,1050.26,1282.27,864.23,1818512.61,1931700742.0
2018-01-17,1050.26,1024.69,1115.66,764.75,2196783.74,2034010888.99
2018-01-18,1024.9,1012.97,1093.9,949.56,1080431.79,1117430433.28
2018-01-19,1012.97,1037.36,1083.62,982.62,501080.74,517599347.75
2018-01-20,1037.36,1150.5,1164.62,1036.82,489743.73,545646401.81
2018-01-21,1150.5,1049.09,1150.57,1008.06,508184.08,543760385.27
2018-01-22,1049.09,999.64,1084.28,917.0,681092.91,676845706.25
2018-01-23,999.75,984.47,1020.66,908.31,678043.45,660805261.99
2018-01-24,984.48,1061.78,1062.6,956.97,514521.75,521553676.55
2018-01-25,1061.61,1046.37,1102.42,1022.2,535509.16,568607934.27
2018-01-26,1046.37,1048.58,1075.59,987.13,492824.14,509049582.65
2018-01-27,1048.58,1109.08,1121.9,1033.86,365750.18,395059716.61
2018-01-28,1109.08,1231.58,1240.47,1101.62,557486.08,662174309.95
2018-01-29,1231.57,1169.96,1240.32,1151.53,436893.27,515965244.78
2018-01-30,1169.94,1063.75,1173.18,1034.72,757521.14,835962532.22
2018-01-31,1063.77,1111.31,1122.98,1020.77,510759.59,550605628.52
2018-02-01,1111.29,1026.19,1155.58,954.75,970470.71,1033001644.78
2018-02-02,1026.19,917.47,1027.66,746.67,1783823.6,1606436956.8
2018-02-03,917.47,970.87,997.6,845.18,591555.32,552868551.93
2018-02-04,970.87,827.59,971.05,781.36,766994.32,666593264.45
2018-02-05,826.34,695.08,857.82,629.08,1747376.34,1272929187.15
2018-02-06,695.05,785.01,801.73,564.19,2312291.59,1556542861.3
2018-02-07,785.16,751.81,858.28,718.28,1124767.44,895500139.13
2018-02-08,751.86,813.55,844.86,750.02,632557.69,510550202.1
2018-02-09,813.55,877.88,880.22,781.5,561205.79,469210004.25
2018-02-10,877.66,850.75,909.32,816.09,520877.94,451412405.8
2018-02-11,850.99,811.24,853.74,780.13,376738.95,308313754.16
2018-02-12,811.17,865.27,874.85,811.09,352040.84,300521830.64
2018-02-13,865.28,840.98,867.6,823.77,304130.99,256092877.9
2018-02-14,840.99,920.11,922.37,840.87,529918.98,470132510.11
2018-02-15,920.11,927.95,947.53,905.65,489358.4,454133646.5
2018-02-16,927.95,938.02,945.36,909.41,304038.76,282763877.2
2018-02-17,937.92,974.77,974.83,934.95,287733.8,276682460.01
2018-02-18,974.78,913.9,981.48,905.96,399661.16,375068724.24
2018-02-19,913.9,939.79,955.62,911.6,233504.11,218921662.11
2018-02-20,939.79,885.52,958.86,877.28,372375.38,344672330.06
2018-02-21,885.52,840.1,906.56,818.12,517644.69,445950029.99
2018-02-22,840.19,804.63,871.32,788.92,441363.7,362800754.34
2018-02-23,804.61,854.7,882.42,787.97,403614.67,340134173.18
2018-02-24,854.7,833.49,874.72,810.64,305237.13,255866976.42
2018-02-25,833.49,840.28,849.52,818.55,204987.54,171228507.8
2018-02-26,840.28,867.62,880.12,834.06,287223.68,247282448.05
2018-02-27,868.77,871.1,904.05,865.91,458760.68,399626963.81
2018-02-28,871.1,853.31,867.06,828.51,467629.5,399035131.55
2018-03-01,853.31,872.05,905.94,868.12,422715.28,368630733.52
2018-03-02,871.73,857.06,881.35,853.3,465100.32,398617272.5
2018-03-03,857.06,855.89,890.74,855.89,447097.83,382666170.06
2018-03-04,855.89,867.2,891.25,858.34,384392.02,333345981.96
2018-03-05,867.17,845.58,865.15,838.49,424359.91,358832100.49
2018-03-06,845.21,815.14,819.97,789.7,482448.32,393264235.1
2018-03-07,815.65,751.13,825.32,726.38,463880.38,354361800.99
2018-03-08,751.13,698.83,772.51,688.84,397145.73,289838564.8
2018-03-09,698.83,726.92,730.46,642.06,599327.0,409323870.51
2018-03-10,726.76,682.3,747.82,678.65,283137.95,203802606.28
2018-03-11,682.3,720.36,735.01,663.58,293925.85,206098889.64
2018-03-12,720.37,697.02,739.87,678.13,293711.48,208107856.0
2018-03-13,697.0,689.96,714.19,679.19,281269.14,194913670.75
2018-03-14,689.96,613.15,703.38,586.7,512459.31,325415119.18
2018-03-15,613.15,610.56,620.43,572.11,571770.63,342311699.48
2018-03-16,610.66,600.53,626.13,585.16,363025.84,221082941.44
2018-03-17,600.53,549.79,609.94,543.28,363384.63,208843294.98
2018-03-18,549.79,537.38,559.93,454.18,1438992.5,719812876.35
2018-03-19,537.38,555.55,559.07,515.84,775671.57,418500605.22
2018-03-20,555.55,557.57,567.0,516.78,607853.22,331343470.55
2018-03-21,557.57,559.91,590.2,545.48,488509.24,277714049.38
2018-03-22,559.91,539.89,578.01,516.22,431953.84,233985932.96
2018-03-23,539.89,543.83,543.84,506.79,432407.55,225200086.3
2018-03-24,543.84,520.16,546.01,519.51,241529.67,129350391.02
2018-03-25,520.17,523.01,535.77,513.63,213514.32,111462284.91
2018-03-26,522.97,486.25,526.2,467.48,567723.19,278656813.48
2018-03-27,486.14,448.78,491.92,446.42,712309.54,328179170.99
2018-03-28,448.78,445.93,465.2,440.35,415739.15,187271233.18
2018-03-29,445.93,383.9,448.5,380.35,1162700.51,472575968.96
2018-03-30,383.96,393.82,411.17,364.99,1174101.99,450253373.58
2018-03-31,393.83,394.07,421.05,389.99,602304.03,243062846.9
