date,open,close,high,low,volume_from,volume_to
2017-10-05,51.22,51.64,51.87,50.17,520188.77,26593841.05
2017-10-06,51.64,52.08,52.75,51.34,415386.22,21668387.99
2017-10-07,52.08,52.57,52.9,51.61,365539.08,19001783.55
2017-10-08,52.57,53.3,54.79,52.32,678233.14,36217438.71
2017-10-09,53.3,50.08,53.44,48.12,1081756.15,54786620.31
2017-10-10,50.08,50.58,51.63,49.69,627881.58,31741909.99
2017-10-11,50.58,50.79,51.05,50.18,394320.41,19957142.12
2017-10-12,50.79,59.72,59.72,50.73,2193019.01,121666559.46
2017-10-13,59.72,59.05,60.76,55.11,2096690.25,122355541.45
2017-10-14,59.05,63.94,66.48,58.34,1773158.56,111286807.31
2017-10-15,63.94,65.57,69.95,62.08,2079801.1,136097133.07
2017-10-16,65.58,64.76,66.41,62.28,898220.74,57750104.01
2017-10-17,64.76,59.19,64.97,58.5,1016881.05,62123185.52
2017-10-18,59.19,60.55,61.89,53.05,1709310.65,98042683.55
2017-10-19,60.55,59.68,61.39,58.35,986953.9,59145290.66
2017-10-20,59.68,60.09,62.17,58.31,921517.73,55677469.84
2017-10-21,60.08,58.09,60.36,56.17,820490.72,47776832.14
2017-10-22,58.09,56.51,58.67,55.73,538797.55,30628993.59
2017-10-23,56.52,54.63,56.57,51.92,1171396.45,63386543.19
2017-10-24,54.63,55.56,58.98,52.35,1227190.77,69816687.74
2017-10-25,55.56,56.19,56.4,53.52,666770.87,36591936.46
2017-10-26,56.19,55.55,56.95,54.9,448359.29,25040264.66
2017-10-27,55.55,55.02,55.99,54.69,353161.94,19515585.36
2017-10-28,55.02,54.22,55.79,53.95,308611.81,16837184.69
2017-10-29,54.22,56.75,57.83,53.86,745887.06,41624090.91
2017-10-30,56.75,56.22,58.66,55.81,575177.06,32778628.05
2017-10-31,56.22,55.5,56.74,55.49,429393.98,24119437.14
2017-11-01,55.5,52.83,55.62,52.72,633540.44,34633306.9
2017-11-02,52.82,54.19,54.9,50.03,1316174.14,68822709.59
2017-11-03,54.19,55.98,56.13,53.79,808480.75,44375580.1
2017-11-04,55.98,54.83,56.12,54.62,431022.66,23813377.86
2017-11-05,54.84,54.6,55.45,54.43,415689.5,22789832.45
2017-11-06,54.6,54.5,55.79,53.43,655602.25,35930222.15
2017-11-07,54.5,60.52,63.49,54.47,1990453.25,117999766.44
2017-11-08,60.52,62.38,64.07,59.59,1929054.85,119045612.63
2017-11-09,62.38,64.15,66.9,61.59,1507681.54,96467373.94
2017-11-10,64.15,58.99,65.75,56.02,1845061.12,112277387.44
2017-11-11,59.07,62.14,63.77,58.64,1169795.97,71691165.51
2017-11-12,62.14,58.54,62.26,56.73,1527653.8,90545722.68
2017-11-13,58.53,61.0,61.84,58.07,1058638.68,63578216.42
2017-11-14,61.0,62.13,63.41,60.12,936563.06,57740143.26
2017-11-15,62.13,63.16,76.1,62.08,934924.43,62683272.43
2017-11-16,63.15,70.7,72.5,62.5,1640431.26,108893924.78
2017-11-17,70.7,67.36,71.29,65.33,1728098.47,117701637.06
2017-11-18,67.36,69.42,69.77,65.41,811385.44,54642292.94
2017-11-19,69.42,71.76,73.24,68.47,1103659.82,77870138.77
2017-11-20,71.76,72.38,73.16,70.9,979972.34,70492845.22
