date,open,close,high,low,volume_from,volume_to
2017-10-02,0.2083,0.2031,0.2092,0.2001,35885216.48,7328241.94
2017-10-03,0.2031,0.2033,0.2062,0.198,29005479.02,5839906.03
2017-10-04,0.2033,0.2135,0.217,0.2012,67470421.52,14142819.29
2017-10-05,0.2135,0.238,0.2442,0.2134,158237559.05,36202349.02
2017-10-06,0.238,0.2334,0.2444,0.2332,94205681.26,22431251.55
2017-10-07,0.2334,0.2397,0.2411,0.2324,41917758.86,9872421.5
2017-10-08,0.2397,0.2799,0.2811,0.2385,148095758.24,38550634.49
2017-10-09,0.2799,0.2501,0.2802,0.234,193728695.41,50199290.42
2017-10-10,0.2501,0.2582,0.2666,0.2406,101124546.01,25680589.44
2017-10-11,0.2582,0.2632,0.2656,0.2553,57462883.66,14969602.81
2017-10-12,0.2632,0.2464,0.2652,0.2461,108852662.71,27832182.82
2017-10-13,0.2464,0.2602,0.2651,0.233,161979990.12,40101635.08
2017-10-14,0.2602,0.2556,0.2685,0.2542,118535906.96,30854310.07
2017-10-15,0.2556,0.2652,0.2691,0.2482,80657865.37,20965294.87
2017-10-16,0.2652,0.2579,0.2977,0.2523,257302479.65,70795786.78
2017-10-17,0.2579,0.2295,0.2654,0.214,205001981.95,49254939.22
2017-10-18,0.2295,0.217,0.2344,0.2016,160949343.77,34877987.83
2017-10-19,0.217,0.2139,0.232,0.2064,132484676.56,28646038.24
2017-10-20,0.2141,0.2082,0.2234,0.2056,93321866.42,19864451.41
2017-10-21,0.2081,0.2097,0.2107,0.1971,72829202.57,14731305.39
2017-10-22,0.2097,0.2014,0.2114,0.1954,65158096.72,13202451.55
2017-10-23,0.2015,0.1917,0.202,0.1845,72657922.35,13886013.24
2017-10-24,0.1917,0.2038,0.2169,0.183,144678217.42,29407955.56
2017-10-25,0.2038,0.2023,0.2047,0.1961,64768022.21,12952868.83
2017-10-26,0.2023,0.2019,0.2046,0.1999,24890547.05,5034908.89
2017-10-27,0.2019,0.2001,0.2027,0.198,16756105.46,3356076.05
2017-10-28,0.2001,0.1982,0.2008,0.1974,13367326.6,2660885.76
2017-10-29,0.1981,0.2015,0.2053,0.1966,27095264.56,5441321.33
2017-10-30,0.2015,0.2024,0.2044,0.2001,21614281.66,4373000.14
2017-10-31,0.2024,0.1975,0.2034,0.1975,27043667.25,5437568.73
2017-11-01,0.1975,0.1903,0.2006,0.1896,47448613.26,9269250.28
2017-11-02,0.191,0.2003,0.2065,0.1755,103212717.82,19532362.03
2017-11-03,0.2003,0.2059,0.2263,0.1961,147015576.65,30726742.27
2017-11-04,0.2059,0.2015,0.2061,0.2001,30140417.31,6104463.98
2017-11-05,0.2014,0.1997,0.2033,0.1984,26944763.85,5405398.96
2017-11-06,0.1997,0.2013,0.2067,0.1981,43252538.69,8747823.33
2017-11-07,0.2013,0.2055,0.2065,0.1993,39602621.81,8001067.76
2017-11-08,0.2055,0.2167,0.2235,0.2031,100569675.08,21290259.15
2017-11-09,0.2167,0.2154,0.2218,0.2126,79735606.88,17384153.32
2017-11-10,0.2154,0.2033,0.2185,0.1988,94828370.41,19761606.63
2017-11-11,0.2033,0.2092,0.2147,0.2016,76561311.72,15862481.91
2017-11-12,0.2092,0.1915,0.2094,0.1861,212638415.64,41553234.57
2017-11-13,0.1915,0.2001,0.2001,0.1906,82216620.66,16156188.48
2017-11-14,0.2001,0.205,0.2103,0.1995,59546806.84,12145669.26
2017-11-15,0.205,0.2083,0.2101,0.2037,60047732.63,12422123.14
2017-11-16,0.2083,0.2269,0.2809,0.2058,391424404.27,93968360.41
2017-11-17,0.227,0.2239,0.2376,0.2174,138204506.25,31261061.68
2017-11-18,0.2239,0.2275,0.2293,0.2191,69817134.52,15637626.61
2017-11-19,0.2275,0.2321,0.237,0.2231,88098310.06,20275409.23
2017-11-20,0.2322,0.2406,0.2462,0.2315,105382518.94,25292860.72
